title,description,theme,data type,data subtype,identifier,licence,keywords,issued,modified,publisher.name,publisher.mbox,contactPoint.fn,contactPoint.hasPhone,contactPoint.hasEmail,landingPage,updateFrequency,temporal,spatial,distribution.0.downloadURL,distribution.0.title,distribution.0.description,distribution.0.format,distribution.0.size,distribution.1.downloadURL,distribution.1.title,distribution.1.description,distribution.1.format,distribution.1.size,distribution.2.downloadURL,distribution.2.title,distribution.2.description,distribution.2.format,distribution.2.size,distribution.3.downloadURL,distribution.3.title,distribution.3.description,distribution.3.format,distribution.3.size,distribution.4.downloadURL,distribution.4.title,distribution.4.description,distribution.4.format
"Auckland, Sea Level Data 2018","Sea level data recorded at the monitoring sites is available for download.   The primary purpose of the network is to upgrade and improve New Zealand's response to tsunami hazards. However, the data generated can also be used for other purposes.  The zipped data file contain data for each day, with readings at one minute intervals.",Hydrography,Sea level,Sea Level Data,,https://creativecommons.org/licenses/by/4.0,"Hydrography,Sea level,Sea Level Data,LINZ",,,Land Information New Zealand,hydro@linz.govt.nz,James Ford,+64 4 473 4182,jford@linz.govt.nz,https://www.linz.govt.nz/sea/tides/sea-level-data/sea-level-data-downloads,Daily,2018-01-01/2018-12-31,"{""type""  : ""Point"" : ""coordinates"" : [174.7862, -36.8312]}",http://apps.linz.govt.nz/ftp/sea_level_data/AUCT/2018/41/,Auckland Sea Level Data 2018 - Sensor 41,,ZIP,,http://apps.linz.govt.nz/ftp/sea_level_data/AUCT/2018/40/,Auckland Sea Level Data 2018 - Sensor 40,,ZIP,,http://apps.linz.govt.nz/ftp/sea_level_data/AUCT/AUCT_map.jpg,Auckland Map,,JPG,,http://apps.linz.govt.nz/ftp/sea_level_data/AUCT/AUCT_photo.jpg,Auckland monitoring site,,JPG,,http://apps.linz.govt.nz/ftp/sea_level_data/AUCT/AUCT_readme.TXT,Auckland site information,,TXT
"Auckland, Sea Level Data 2019","Sea level data recorded at the monitoring sites is available for download.   The primary purpose of the network is to upgrade and improve New Zealand's response to tsunami hazards. However, the data generated can also be used for other purposes.  The zipped data file contain data for each day, with readings at one minute intervals.",Hydrography,Sea level,Sea Level Data,,https://creativecommons.org/licenses/by/4.0,"Hydrography,Sea level,Sea Level Data,LINZ",,,Land Information New Zealand,hydro@linz.govt.nz,James Ford,+64 4 473 4182,jford@linz.govt.nz,https://www.linz.govt.nz/sea/tides/sea-level-data/sea-level-data-downloads,Daily,2019-01-01/2019-12-31,"{""type""  : ""Point"" : ""coordinates"" : [174.7862, -36.8312]}",http://apps.linz.govt.nz/ftp/sea_level_data/AUCT/2019/41/,Auckland Sea Level Data 2019 - Sensor 41,,ZIP,,http://apps.linz.govt.nz/ftp/sea_level_data/AUCT/2019/40/,Auckland Sea Level Data 2019 - Sensor 40,,ZIP,,http://apps.linz.govt.nz/ftp/sea_level_data/AUCT/AUCT_map.jpg,Auckland Map,,JPG,,http://apps.linz.govt.nz/ftp/sea_level_data/AUCT/AUCT_photo.jpg,Auckland monitoring site,,JPG,,http://apps.linz.govt.nz/ftp/sea_level_data/AUCT/AUCT_readme.TXT,Auckland site information,,TXT
"Boat Cove, Raoul Island, Sea Level Data 2009","Sea level data recorded at the monitoring sites is available for download.   The primary purpose of the network is to upgrade and improve New Zealand's response to tsunami hazards. However, the data generated can also be used for other purposes.  The zipped data file contain data for each day, with readings at one minute intervals.",Hydrography,Sea level,Sea Level Data,,https://creativecommons.org/licenses/by/4.0,"Hydrography,Sea level,Sea Level Data,LINZ",,,Land Information New Zealand,hydro@linz.govt.nz,James Ford,+64 4 473 4182,jford@linz.govt.nz,https://www.linz.govt.nz/sea/tides/sea-level-data/sea-level-data-downloads,Daily,2009-01-01/2009-12-31,"{""type""  : ""Point"" : ""coordinates"" : [182.1054, -29.2803]}",http://apps.linz.govt.nz/ftp/sea_level_data/RBCT/2009/41/,"Boat Cove, Raoul Island Sea Level Data 2009 - Sensor 41",,ZIP,,http://apps.linz.govt.nz/ftp/sea_level_data/RBCT/2009/40/,"Boat Cove, Raoul Island Sea Level Data 2009 - Sensor 40",,ZIP,,http://apps.linz.govt.nz/ftp/sea_level_data/RBCT/RBCT_map.jpg,"Boat Cove, Raoul Island Map",,JPG,,http://apps.linz.govt.nz/ftp/sea_level_data/RBCT/RBCT_photo.jpg,"Boat Cove, Raoul Island monitoring site",,JPG,,http://apps.linz.govt.nz/ftp/sea_level_data/RBCT/RBCT_readme.TXT,"Boat Cove, Raoul Island site information",,TXT
"Boat Cove, Raoul Island, Sea Level Data 2010","Sea level data recorded at the monitoring sites is available for download.   The primary purpose of the network is to upgrade and improve New Zealand's response to tsunami hazards. However, the data generated can also be used for other purposes.  The zipped data file contain data for each day, with readings at one minute intervals.",Hydrography,Sea level,Sea Level Data,,https://creativecommons.org/licenses/by/4.0,"Hydrography,Sea level,Sea Level Data,LINZ",,,Land Information New Zealand,hydro@linz.govt.nz,James Ford,+64 4 473 4182,jford@linz.govt.nz,https://www.linz.govt.nz/sea/tides/sea-level-data/sea-level-data-downloads,Daily,2010-01-01/2010-12-31,"{""type""  : ""Point"" : ""coordinates"" : [182.1054, -29.2803]}",http://apps.linz.govt.nz/ftp/sea_level_data/RBCT/2010/41/,"Boat Cove, Raoul Island Sea Level Data 2010 - Sensor 41",,ZIP,,http://apps.linz.govt.nz/ftp/sea_level_data/RBCT/2010/40/,"Boat Cove, Raoul Island Sea Level Data 2010 - Sensor 40",,ZIP,,http://apps.linz.govt.nz/ftp/sea_level_data/RBCT/RBCT_map.jpg,"Boat Cove, Raoul Island Map",,JPG,,http://apps.linz.govt.nz/ftp/sea_level_data/RBCT/RBCT_photo.jpg,"Boat Cove, Raoul Island monitoring site",,JPG,,http://apps.linz.govt.nz/ftp/sea_level_data/RBCT/RBCT_readme.TXT,"Boat Cove, Raoul Island site information",,TXT
"Boat Cove, Raoul Island, Sea Level Data 2011","Sea level data recorded at the monitoring sites is available for download.   The primary purpose of the network is to upgrade and improve New Zealand's response to tsunami hazards. However, the data generated can also be used for other purposes.  The zipped data file contain data for each day, with readings at one minute intervals.",Hydrography,Sea level,Sea Level Data,,https://creativecommons.org/licenses/by/4.0,"Hydrography,Sea level,Sea Level Data,LINZ",,,Land Information New Zealand,hydro@linz.govt.nz,James Ford,+64 4 473 4182,jford@linz.govt.nz,https://www.linz.govt.nz/sea/tides/sea-level-data/sea-level-data-downloads,Daily,2011-01-01/2011-12-31,"{""type""  : ""Point"" : ""coordinates"" : [182.1054, -29.2803]}",http://apps.linz.govt.nz/ftp/sea_level_data/RBCT/2011/41/,"Boat Cove, Raoul Island Sea Level Data 2011 - Sensor 41",,ZIP,,http://apps.linz.govt.nz/ftp/sea_level_data/RBCT/2011/40/,"Boat Cove, Raoul Island Sea Level Data 2011 - Sensor 40",,ZIP,,http://apps.linz.govt.nz/ftp/sea_level_data/RBCT/RBCT_map.jpg,"Boat Cove, Raoul Island Map",,JPG,,http://apps.linz.govt.nz/ftp/sea_level_data/RBCT/RBCT_photo.jpg,"Boat Cove, Raoul Island monitoring site",,JPG,,http://apps.linz.govt.nz/ftp/sea_level_data/RBCT/RBCT_readme.TXT,"Boat Cove, Raoul Island site information",,TXT
"Boat Cove, Raoul Island, Sea Level Data 2012","Sea level data recorded at the monitoring sites is available for download.   The primary purpose of the network is to upgrade and improve New Zealand's response to tsunami hazards. However, the data generated can also be used for other purposes.  The zipped data file contain data for each day, with readings at one minute intervals.",Hydrography,Sea level,Sea Level Data,,https://creativecommons.org/licenses/by/4.0,"Hydrography,Sea level,Sea Level Data,LINZ",,,Land Information New Zealand,hydro@linz.govt.nz,James Ford,+64 4 473 4182,jford@linz.govt.nz,https://www.linz.govt.nz/sea/tides/sea-level-data/sea-level-data-downloads,Daily,2012-01-01/2012-12-31,"{""type""  : ""Point"" : ""coordinates"" : [182.1054, -29.2803]}",http://apps.linz.govt.nz/ftp/sea_level_data/RBCT/2012/41/,"Boat Cove, Raoul Island Sea Level Data 2012 - Sensor 41",,ZIP,,http://apps.linz.govt.nz/ftp/sea_level_data/RBCT/2012/40/,"Boat Cove, Raoul Island Sea Level Data 2012 - Sensor 40",,ZIP,,http://apps.linz.govt.nz/ftp/sea_level_data/RBCT/RBCT_map.jpg,"Boat Cove, Raoul Island Map",,JPG,,http://apps.linz.govt.nz/ftp/sea_level_data/RBCT/RBCT_photo.jpg,"Boat Cove, Raoul Island monitoring site",,JPG,,http://apps.linz.govt.nz/ftp/sea_level_data/RBCT/RBCT_readme.TXT,"Boat Cove, Raoul Island site information",,TXT
"Boat Cove, Raoul Island, Sea Level Data 2013","Sea level data recorded at the monitoring sites is available for download.   The primary purpose of the network is to upgrade and improve New Zealand's response to tsunami hazards. However, the data generated can also be used for other purposes.  The zipped data file contain data for each day, with readings at one minute intervals.",Hydrography,Sea level,Sea Level Data,,https://creativecommons.org/licenses/by/4.0,"Hydrography,Sea level,Sea Level Data,LINZ",,,Land Information New Zealand,hydro@linz.govt.nz,James Ford,+64 4 473 4182,jford@linz.govt.nz,https://www.linz.govt.nz/sea/tides/sea-level-data/sea-level-data-downloads,Daily,2013-01-01/2013-12-31,"{""type""  : ""Point"" : ""coordinates"" : [182.1054, -29.2803]}",http://apps.linz.govt.nz/ftp/sea_level_data/RBCT/2013/41/,"Boat Cove, Raoul Island Sea Level Data 2013 - Sensor 41",,ZIP,,http://apps.linz.govt.nz/ftp/sea_level_data/RBCT/2013/40/,"Boat Cove, Raoul Island Sea Level Data 2013 - Sensor 40",,ZIP,,http://apps.linz.govt.nz/ftp/sea_level_data/RBCT/RBCT_map.jpg,"Boat Cove, Raoul Island Map",,JPG,,http://apps.linz.govt.nz/ftp/sea_level_data/RBCT/RBCT_photo.jpg,"Boat Cove, Raoul Island monitoring site",,JPG,,http://apps.linz.govt.nz/ftp/sea_level_data/RBCT/RBCT_readme.TXT,"Boat Cove, Raoul Island site information",,TXT
"Boat Cove, Raoul Island, Sea Level Data 2014","Sea level data recorded at the monitoring sites is available for download.   The primary purpose of the network is to upgrade and improve New Zealand's response to tsunami hazards. However, the data generated can also be used for other purposes.  The zipped data file contain data for each day, with readings at one minute intervals.",Hydrography,Sea level,Sea Level Data,,https://creativecommons.org/licenses/by/4.0,"Hydrography,Sea level,Sea Level Data,LINZ",,,Land Information New Zealand,hydro@linz.govt.nz,James Ford,+64 4 473 4182,jford@linz.govt.nz,https://www.linz.govt.nz/sea/tides/sea-level-data/sea-level-data-downloads,Daily,2014-01-01/2014-12-31,"{""type""  : ""Point"" : ""coordinates"" : [182.1054, -29.2803]}",http://apps.linz.govt.nz/ftp/sea_level_data/RBCT/2014/41/,"Boat Cove, Raoul Island Sea Level Data 2014 - Sensor 41",,ZIP,,http://apps.linz.govt.nz/ftp/sea_level_data/RBCT/2014/40/,"Boat Cove, Raoul Island Sea Level Data 2014 - Sensor 40",,ZIP,,http://apps.linz.govt.nz/ftp/sea_level_data/RBCT/RBCT_map.jpg,"Boat Cove, Raoul Island Map",,JPG,,http://apps.linz.govt.nz/ftp/sea_level_data/RBCT/RBCT_photo.jpg,"Boat Cove, Raoul Island monitoring site",,JPG,,http://apps.linz.govt.nz/ftp/sea_level_data/RBCT/RBCT_readme.TXT,"Boat Cove, Raoul Island site information",,TXT
"Boat Cove, Raoul Island, Sea Level Data 2015","Sea level data recorded at the monitoring sites is available for download.   The primary purpose of the network is to upgrade and improve New Zealand's response to tsunami hazards. However, the data generated can also be used for other purposes.  The zipped data file contain data for each day, with readings at one minute intervals.",Hydrography,Sea level,Sea Level Data,,https://creativecommons.org/licenses/by/4.0,"Hydrography,Sea level,Sea Level Data,LINZ",,,Land Information New Zealand,hydro@linz.govt.nz,James Ford,+64 4 473 4182,jford@linz.govt.nz,https://www.linz.govt.nz/sea/tides/sea-level-data/sea-level-data-downloads,Daily,2015-01-01/2015-12-31,"{""type""  : ""Point"" : ""coordinates"" : [182.1054, -29.2803]}",http://apps.linz.govt.nz/ftp/sea_level_data/RBCT/2015/41/,"Boat Cove, Raoul Island Sea Level Data 2015 - Sensor 41",,ZIP,,http://apps.linz.govt.nz/ftp/sea_level_data/RBCT/2015/40/,"Boat Cove, Raoul Island Sea Level Data 2015 - Sensor 40",,ZIP,,http://apps.linz.govt.nz/ftp/sea_level_data/RBCT/RBCT_map.jpg,"Boat Cove, Raoul Island Map",,JPG,,http://apps.linz.govt.nz/ftp/sea_level_data/RBCT/RBCT_photo.jpg,"Boat Cove, Raoul Island monitoring site",,JPG,,http://apps.linz.govt.nz/ftp/sea_level_data/RBCT/RBCT_readme.TXT,"Boat Cove, Raoul Island site information",,TXT
"Boat Cove, Raoul Island, Sea Level Data 2016","Sea level data recorded at the monitoring sites is available for download.   The primary purpose of the network is to upgrade and improve New Zealand's response to tsunami hazards. However, the data generated can also be used for other purposes.  The zipped data file contain data for each day, with readings at one minute intervals.",Hydrography,Sea level,Sea Level Data,,https://creativecommons.org/licenses/by/4.0,"Hydrography,Sea level,Sea Level Data,LINZ",,,Land Information New Zealand,hydro@linz.govt.nz,James Ford,+64 4 473 4182,jford@linz.govt.nz,https://www.linz.govt.nz/sea/tides/sea-level-data/sea-level-data-downloads,Daily,2016-01-01/2016-12-31,"{""type""  : ""Point"" : ""coordinates"" : [182.1054, -29.2803]}",http://apps.linz.govt.nz/ftp/sea_level_data/RBCT/2016/41/,"Boat Cove, Raoul Island Sea Level Data 2016 - Sensor 41",,ZIP,,http://apps.linz.govt.nz/ftp/sea_level_data/RBCT/2016/40/,"Boat Cove, Raoul Island Sea Level Data 2016 - Sensor 40",,ZIP,,http://apps.linz.govt.nz/ftp/sea_level_data/RBCT/RBCT_map.jpg,"Boat Cove, Raoul Island Map",,JPG,,http://apps.linz.govt.nz/ftp/sea_level_data/RBCT/RBCT_photo.jpg,"Boat Cove, Raoul Island monitoring site",,JPG,,http://apps.linz.govt.nz/ftp/sea_level_data/RBCT/RBCT_readme.TXT,"Boat Cove, Raoul Island site information",,TXT
